cohort,mouse,side,section,area ,Number,Trajectory,Accepted,Pixels,Area [px²],Intensity Average,CRH Count Inside,TRH Count Inside,GHRH Count Inside,Kiss1 Count Inside,LepRb Count Inside,AgRP Count Inside,NPY Count Inside,Ghrl Count Inside,POMC Count Inside,INR Count Inside,GHSR1a Count Inside,MC4R Count Inside,CRH Count Touching,TRH Count Touching,GHRH Count Touching,Kiss1 Count Touching,LepRb Count Touching,AgRP Count Touching,NPY Count Touching,Ghrl Count Touching,POMC Count Touching,INR Count Touching,GHSR1a Count Touching,MC4R Count Touching,CRH Area Percent [%],TRH Area Percent [%],CRH Area [px²],TRH Area [px²],CRH Area Fraction,TRH Area Fraction,CRH Intensity Average,TRH Intensity Average,CRH Integrated Intensity,TRH Integrated Intensity,CRH Intensity Variance,TRH Intensity Variance,CRH Intensity Maximum,TRH Intensity Maximum,CRH Intensity Minimum,TRH Intensity Minimum,CRH Intensity Average (Processed),TRH Intensity Average (Processed),CRH Integrated Intensity (Processed),TRH Integrated Intensity (Processed),CRH Intensity Variance (Processed),TRH Intensity Variance (Processed),X FCP,Y FCP,X Centroid,Y Centroid
1,6,left,1,M,73536,0,383,7019,7019,32169.051,1,4,0,4,13,0,0,5,0,0,0,1,1,7,0,4,17,0,0,5,0,0,0,1,2.941,257.006,1,45,0.029,2.57,25,664.13,25,6550,0,27993.518,25,943,25,318,25,664.13,25,6550,0,27993.518,279067,150870,278870.009,149979.637
1,6,right,1,M,24753,0,222,3850,3850,20494.82281,0,3,0,1,0,0,1,0,0,0,0,2,0,12,0,1,0,0,1,0,0,0,0,2,0,299.5259003,0,54,0,2.995259003,0,1329.266026,0,8454,0,9546.176404,0,1626,0,1051,0,1329.266026,0,8454,0,9546.176404,37261,57310,37165.16352,56785.19925
1,6,left,2,M,582660,0,1079,44698,44698,109926.0617,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,1,2,1,0,0,0,0,0,0,0,510.2886654,0,325,0,5.102886654,0,2430.636905,0,79841,0,138.7164089,0,2441,0,2350,0,2430.636905,0,79841,0,138.7164089,4166998,3268070,4166092.183,3264364.712
1,6,right,2,M,28920,0,240,4946,4946,26432.455,0,4,0,0,1,0,0,1,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,99.612,0,29,0,0.996,0,957.1,0,6059,0,3310.997,0,1075,0,800,0,957.1,0,6059,0,3310.997,74674,52498,74527.705,51890.904
3,7,left,1,M,25651,0,226,13636,13636,42462.952,0,0,0,0,4,0,0,2,0,0,0,0,2,2,0,0,9,0,0,11,6,0,0,0,41.449,101.493,9,53,0.414,1.015,116.25,381.077,552,11809,20.786,144.072,123,386,110,330,116.25,381.077,552,11809,20.786,144.072,1022118,652082,1021925.271,651073.524
3,7,right,1,M,5460,0,104,1819,1819,17352.12,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,6,0,0,0,8.333,47.143,2,17,0.083,0.471,253,678.5,506,3804,2,9.269,254,681,252,668,253,678.5,506,3804,2,9.269,6975,51545,6913.426,51319.583
3,7,left,2,M,903,0,42,656,656,7875.614,0,2,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,1,2,0,9,12,0,0,16.667,0,2,0,0.167,0,338,0,338,0,0,0,338,0,338,0,338,0,338,0,0,40991,14639,40986.463,14532
3,7,right,2,M,2485,0,70,1292,1292,11763.3626,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,118.7134503,0,22,0,1.187134503,0,505.5833333,0,5557,0,70.08333333,0,508,0,479,0,505.5833333,0,5557,0,70.08333333,3235,24688,3195.683952,24523.4595
4,2,left,1,M,378,0,27,493,493,1756.556,22,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,1,0,1,1,0,2343.121,0,421,0,23.431,0,2874.952,0,47110,0,34428.568,0,4547,0,1821,0,2874.952,0,47110,0,34428.568,0,25433,8061,25415.833,7982.234
4,2,right,1,M,253,0,22,461,461,1601.25,8,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,43.307,23.077,17,3,0.433,0.231,975.429,77,4231,231,2.725,1701,976,122,970,41,975.429,77,4231,231,2.725,1701,1557,7502,1526.252,7434.59
4,2,left,2,M,528,0,32,570,570,3804.397,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30354,10547,30334.88,10469.822
4,7,left,1,M,630,0,35,721,721,5821.772,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,192.813,0,53,0,1.928,0,783.317,0,5810,0,28346.139,0,1341,0,346,0,783.317,0,5810,0,28346.139,30595,9826,30578.419,9720.925
4,7,right,1,M,78,0,12,169,169,2815.671,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26.667,0,8,0,0.267,0,106.375,0,851,0,367.125,0,131,0,76,0,106.375,0,851,0,367.125,645,4847,633.077,4817.747
4,7,left,2,M,3240,0,80,1468,1468,13867.857,1,4,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0,609.37,1162.167,151,260,6.094,11.622,2100.828,3479.481,37552,49185,2396.891,21481.508,2140,4077,1953,2837,2100.828,3479.481,37552,49185,2396.891,21481.508,69433,16503,69377.734,16316.88
6,1,left,1,M,2145,0,65,1339,1339,10292.752,0,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,0,0,0,0,4,0,0,0,6500,0,1339,0,65,0,15685.876,0,323638,0,45200.532,0,16455,0,11217,0,15685.876,0,323638,0,45200.532,0,64319,18005,64270.909,17790.941
6,1,right,1,M,1326,0,51,867,867,11732.303,6,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,2848.203,0,486,0,28.482,0,8804.17,0,122144,0,2.281,0,8809,0,8799,0,8804.17,0,122144,0,2.281,0,1469,19799,1445.199,19650.736
6,1,left,2,M,3003,0,77,1557,1557,17553.046,2,0,3,0,2,0,1,1,2,0,0,0,12,0,5,2,2,0,2,3,8,0,1,1,754.322,0,110,0,7.543,0,2736.75,0,27308,0,0.205,0,2737,0,2736,0,2736.75,0,27308,0,0.205,0,75979,35535,75939.199,35312.229
6,1,right,2,M,1770,0,59,1083,1083,14458.191,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,3110.392,0,566,0,31.104,0,9813.019,0,142273,0,1.496,0,9817,0,9810,0,9813.019,0,142273,0,1.496,0,1679,27993,1642.472,27832.537
8,3,left,1,M,528,0,32,559,559,4111.151,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,16.85,0,3,0,0.168,0,127,0,203,0,50,0,132,0,122,0,127,0,203,0,50,0,31450,11706,31423.884,11632.771
8,3,right,1,M,1770,0,59,1223,1223,5060.844,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,5.882,0,1,0,0.059,0,88,0,88,0,0,0,88,0,88,0,88,0,88,0,0,0,1306,22947,1258.198,22778.161
8,3,left,2,M,1485,0,54,1038,1038,6734.811054,1,0,0,0,1,0,1,2,1,0,0,0,1,3,0,0,1,0,1,2,1,0,0,0,4.166666667,87.14285714,1,12,0.041666667,0.871428571,59,329.25,59,1596,0,5251.25,59,434,59,227,59,329.25,59,1596,0,5251.25,50240,17911,50212.39935,17748.36108
8,3,right,2,M,703,0,37,681,681,4650.469,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,17198,2104.669,17087.285
8,6,left,1,M,2556,0,71,1370,1370,7436.155,37,0,0,0,2,1,0,0,1,0,0,0,41,2,1,0,2,1,0,1,1,0,0,0,763.979,97.203,178,29,7.64,0.972,7948.533,386.056,39217,5986,28939.368,8927.756,8733,484,6921,216,7948.533,386.056,39217,5986,28939.368,8927.756,69162,33195,69106.418,33038.69
8,6,right,1,M,3003,0,77,1364,1364,6132.755,16,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,207.227,35.714,36,5,2.072,0.357,2597.183,148,7340,740,1901.395,560,2685,183,2462,117,2597.183,148,7340,740,1901.395,560,3088,39187,3044.399,39007.213
8,6,left,2,M,3403,0,82,1666,1666,14030.771,100,0,0,0,0,0,0,0,1,0,0,0,106,1,0,0,0,0,0,0,1,0,0,0,2532.599,100,573,11,25.326,1,18254.93,251.636,141073,2768,12698.032,124.455,18779,255,16975,218,18254.93,251.636,141073,2768,12698.032,124.455,77917,30546,77875.109,30324.59
8,6,right,2,M,2775,0,74,1217,1217,14096.398,93,0,0,0,3,0,0,0,0,0,0,0,110,2,0,0,3,0,0,0,0,0,0,0,3466.633,85.625,579,22,34.666,0.856,17683.445,247.863,138914,2796,36954.423,8283.009,18681,447,15209,78,17683.445,247.863,138914,2796,36954.423,8283.009,4509,33493,4447.228,33332.347
10,2,left,1,M,1711,0,58,915,915,7435.015753,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54403,22166,54382.25891,22035.74648
10,2,right,1,M,8001,0,126,2291,2291,11415.894,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4621,52356,4549.949,52058.614
10,2,left,2,M,31125,0,249,4906,4906,34799.89668,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2.173913043,102.173913,1,11,0.02173913,1.02173913,177,365.7,177,2568,0,764.9,177,375,177,287,177,365.7,177,2568,0,764.9,226636,129149,226483.8809,128583.7324
10,2,right,2,M,45150,0,300,5668,5668,46896.685,2,1,0,1,0,0,0,2,0,0,1,1,3,2,1,1,0,0,0,2,0,0,1,1,14.075,103.333,4,20,0.141,1.033,187.667,510,395,5100,1174.333,0,226,510,160,510,187.667,510,395,5100,1174.333,0,13049,108662,12866.023,108002.851
