cohort,mouse ,back_tag,leg_tag,weight_PD1,weight_PD6,weight_GD1,weight_GH10 ,sac_time,weight_AT
1,1,9.00133E+14,9.00133E+14,38.5,37.4,38.3,40.6,12:51,0.483
1,3,9.00133E+14,9.00133E+14,34.7,34.8,35.9,,12:09,0.5
1,4,9.00133E+14,9.00133E+14,35.1,35.5,35.4,34.8,12:46,0.133
1,6,9.00133E+14,9.00133E+14,33.5,33.9,35.4,35,12:03,0.33
1,7,9.00133E+14,9.00133E+14,41.6,42,42.3,42.2,12:15,0.606
1,8,9.00133E+14,9.00133E+14,39.4,39.3,39.9,38.1,12:57,0.537
2,1,9.00133E+14,9.00133E+14,37.9,38.3,38.8,,12:38,0.601
2,3,9.00133E+14,9.00133E+14,39.5,40.3,39.4,37.5,1:13,0.44
2,4,9.00133E+14,9.00133E+14,37.5,38,37.8,39.7,1:07,0.82
2,6,9.00133E+14,9.00133E+14,36.1,36.4,38.8,36.4,1:02,0.454
2,7,9.00133E+14,9.00133E+14,41.6,40.8,39.8,39.9,12:23,0.543
2,8,9.00133E+14,9.00133E+14,37.6,37.7,37.8,37.5,12:31,0.464
